Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
45.9739934066,14.5172495422,0,Private car,0.0,Plane,500.0,250.0,,100.0,,,,,,,0,0,10.0,Ljubljana,0,2010-03-04,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F621,621.0,,,Ig,750-448/2
46.0134235742,14.4000638708,1,Private car,1.0,Plane,300.0,250.0,,100.0,,,,,,,0,0,,Ljubljana,0,2010-03-28,2011-06-20,http://www.geopedia.si/?params=T1199_L6357_F622,622.0,,,Log-Dragomer,2162-2001/1
46.0045122286,14.3942337935,1,Private car,1.0,Plane,128.0,50.0,,20.0,10,70,,,,,0,0,13.0,Ljubljana,0,2010-03-28,2012-03-16,http://www.geopedia.si/?params=T1199_L6357_F623,623.0,,,Brezovica,974-3564/1
46.0214132482,14.4317237892,1,Private car,1.0,Plane,11200.0,1500.0,,99.0,,1,,,,,0,0,40.0,Ljubljana,0,2010-03-28,2012-03-16,http://www.geopedia.si/?params=T1199_L6357_F624,624.0,,,Brezovica,974-426
46.026253616,14.4389462587,1,Private car,3.0,Plane,560.0,500.0,,100.0,,,,,,,0,1,16.0,Ljubljana,0,2010-03-28,2012-03-28,http://www.geopedia.si/?params=T1199_L6357_F625,625.0,,24.3.2012 očiščeno,Ljubljana,2160-3199/1
46.0259119901,14.4445296683,1,Private car,2.0,Plane,15000.0,1500.0,,100.0,,,,,,,0,1,,Ljubljana,0,2010-03-28,2011-12-30,http://www.geopedia.si/?params=T1199_L6357_F626,626.0,,Deponija je sanirana!,Ljubljana,2160-2503
46.0169149157,14.4192815836,1,Private car,1.0,Plane,116.0,100.0,,100.0,,,,,,,0,0,7.0,Ljubljana,0,2010-03-03,2012-03-16,http://www.geopedia.si/?params=T1199_L6357_F627,627.0,,,Brezovica,974-3672
46.0142498297,14.4153965851,1,Private car,100.0,Slope,60.0,50.0,,50.0,,50,,,,,0,0,11.0,Ljubljana,0,2010-03-02,2012-03-16,http://www.geopedia.si/?params=T1199_L6357_F628,628.0,,,Brezovica,974-570/5
45.9865143425,14.441387244,0,On foot,1.0,Plane,10.0,10.0,,95.0,,5,,,,,0,0,2.0,Ljubljana,0,2010-03-28,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F629,629.0,,,Ljubljana,1801-1135/2
45.99141516,14.4576026892,0,Private car,5.0,Plane,900.0,500.0,,100.0,,,,,,,0,1,16.0,Ljubljana,0,2010-03-03,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F630,630.0,,,Ljubljana,1801-1139/10
46.0271726885,14.4522025676,0,Private car,30.0,Plane,8.0,10.0,,100.0,,,,,,,0,1,1.0,Ljubljana,0,2010-03-28,2011-12-30,http://www.geopedia.si/?params=T1199_L6357_F631,631.0,,,Ljubljana,2160-2302/3
46.019990673,14.4612495489,0,Private car,8.0,Plane,30.0,50.0,,99.0,1,,,,,,0,0,6.0,Ljubljana,0,2010-03-28,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F632,632.0,,,Ljubljana,2583-2092/97
46.0155186967,14.4708365257,0,Private car,4.0,Plane,8.0,10.0,,70.0,30,,,,,,0,0,2.0,Ljubljana,0,2010-03-28,2011-04-14,http://www.geopedia.si/?params=T1199_L6357_F633,633.0,,,Ljubljana,2583-2239
46.0155085463,14.4667170136,0,Private car,1.0,Plane,600.0,100.0,,90.0,1,4,,,,5,0,0,18.0,Ljubljana,0,2010-03-28,2013-04-12,http://www.geopedia.si/?params=T1199_L6357_F634,634.0,,,Ljubljana,2583-2260/2
45.9962921145,14.4710972791,0,Private car,8.0,Plane,1050.0,1500.0,,100.0,,,,,,,0,1,34.0,Ljubljana,0,2010-03-28,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F635,635.0,,,Ljubljana,750-1800
45.9965575481,14.4681900621,0,Private car,3.0,Plane,525.0,250.0,,100.0,,,,,,,0,1,11.0,Ljubljana,0,2010-03-28,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F636,636.0,,,Ljubljana,1801-1167/1
45.9963802462,14.4687597867,0,Private car,3.0,Plane,20.0,25.0,,100.0,,,,,,,0,0,4.0,Ljubljana,0,2010-03-02,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F637,637.0,,,Ljubljana,750-1805/31
45.9386629741,14.3635746132,0,On foot,50.0,Plane,150.0,25.0,,30.0,,70,,,,,0,0,10.0,Ljubljana,0,2010-04-04,2010-04-04,http://www.geopedia.si/?params=T1199_L6357_F641,641.0,,,Borovnica,1875-3369/5
45.943313814,14.360180978,0,On foot,50.0,Plane,80.0,1.0,,100.0,,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-04-17,http://www.geopedia.si/?params=T1199_L6357_F642,642.0,,,Borovnica,2266-125
45.9953362989,14.5347499178,0,Private car,0.0,Plane,25.0,25.0,,99.0,1,,,,,,0,0,6.0,Ljubljana,0,2010-03-28,2011-03-21,http://www.geopedia.si/?params=T1199_L6357_F646,646.0,,,Ljubljana,744-627/20
45.9831547099,14.5219453645,1,Private car,1.0,Slope,100.0,1.0,,,100,,,,,,0,0,,Ljubljana,0,2010-03-28,2011-04-10,http://www.geopedia.si/?params=T1199_L6357_F648,648.0,,,Ig,748-1314
45.9652588438,14.5463172204,0,Private car,2.0,Slope,100.0,1.0,,,100,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F649,649.0,,,Škofljica,748-713
45.9707598274,14.5704925978,0,Private car,1.0,Plane,1.0,1.0,,,100,,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F650,650.0,,,Škofljica,747-1707/2
45.979068751,14.52818815,0,Private car,0.0,Basin,10.0,10.0,,100.0,,,,,,,0,0,1.0,Ljubljana,0,2010-03-02,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F651,651.0,,,Ig,748-1405
45.7201308574,14.0727751471,1,Private car,20.0,Plane,5.0,1.0,,,100,,,,,,0,0,1.0,Koper,0,2010-03-02,2015-10-27,http://www.geopedia.si/?params=T1199_L6357_F653,653.0,,Ob poti iz vasi Laže proti lovski koči v Jelenje se na desni strani v grmovjunahaja več pločevink in plastenk. Očitno nekateri uporablja to jaso za piknik neda bi pospravili za seboj.,Divača,342-1898/3
46.1215560045,14.8136212511,0,Off-road,3.0,Plane,3.0,1.0,,,,50,,,50,,0,0,2.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F6942,6942.0,,"Ob gozdni poti raztresene smeti (polivinil, tepih)",Litija,411-2048/1
45.8430700228,15.1509165636,0,Off-road,200.0,Plane,2.0,1.0,,,,100,,,,,0,0,1.0,Novo Mesto,0,2012-02-20,2012-02-20,http://www.geopedia.si/?params=T1199_L6357_F16201,16201.0,dobrava - bartelj,plastika od kablov,Novo mesto,588-196/5
45.7991488967,15.1388215228,0,Off-road,300.0,Plane,4.0,2.0,,,10,85,5,,,,0,0,1.0,Novo Mesto,0,2012-02-20,2012-02-20,http://www.geopedia.si/?params=T1199_L6357_F16202,16202.0,nm - meglič,,Novo mesto,590-409/3
45.9152415948,13.7689406406,1,Off-road,50.0,Plane,4.0,2.0,,,,100,,,,,0,0,,Nova Gorica,0,2010-03-28,2011-04-15,http://www.geopedia.si/?params=T1199_L6357_F656,656.0,,Avtomobil,Nova Gorica,1868-1864
46.4840313945,15.9780081899,1,Off-road,100.0,Slope,15.0,25.0,,,,,,,,,0,0,,Maribor,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F7755,7755.0,,Površina in prostornina sta določeni le približno.,Juršinci,1555-589/2
45.755185888,14.0463967825,0,Private car,100.0,Plane,4.0,10.0,,,,,,100,,,0,0,6.0,Koper,0,2010-03-28,2017-03-28,http://www.geopedia.si/?params=T1199_L6357_F658,658.0,,avtomobil,Divača,2358-2422/220
45.8726018221,13.7985944417,1,Off-road,10.0,Slope,3.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-28,2012-07-12,http://www.geopedia.si/?params=T1199_L6357_F660,660.0,,avtomobil,Nova Gorica,2144-4880/1
45.8675897473,13.8011367387,0,Off-road,500.0,Basin,10.0,10.0,,20.0,10,70,,,,,0,0,4.0,Nova Gorica,0,2010-03-04,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F661,661.0,,"pnevmatike, peč,deli avtomobilov",Ajdovščina,2217-3565/2
45.8937437371,13.7712456019,0,Private car,5.0,Plane,5.0,10.0,,,,,,100,,,0,0,6.0,Nova Gorica,0,2010-03-28,2017-03-21,http://www.geopedia.si/?params=T1199_L6357_F662,662.0,,avtomobil,Ajdovščina,1674-723/1
45.9031831822,13.7538703447,0,Off-road,10.0,Plane,10.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-28,2017-03-21,http://www.geopedia.si/?params=T1199_L6357_F663,663.0,Vogršček,Deli avtomobila,Ajdovščina,1251-946/225
45.8666877298,13.7269046811,0,Private car,10.0,Slope,10.0,1.0,,,100,,,,,,0,0,1.0,Nova Gorica,0,2010-03-28,2011-04-21,http://www.geopedia.si/?params=T1199_L6357_F664,664.0,,"smeti v vrečkah, kante od olja",Nova Gorica,14-3061/1
45.4816637366,13.8195835651,0,Private car,7.0,Plane,10.0,25.0,,,10,90,,,,,0,0,6.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F665,665.0,,stara uničena kamp prikolica,Koper,1705-*133/3
46.0408353753,14.4419640873,1,Private car,300.0,Plane,80.0,25.0,,,100,,,,,,0,0,,Ljubljana,0,2010-02-27,2011-03-15,http://www.geopedia.si/?params=T1199_L6357_F666,666.0,,večinoma avtomobilske gume,Ljubljana,2160-1700/1
45.5839508739,13.7325430704,0,Private car,200.0,Plane,20.0,25.0,,,,80,,,20,,0,0,12.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F667,667.0,,Star vagon in ostali kosovni odpadki pri njivi nad Kocjančičevo ulico,Koper,1695-671/3
45.5845450737,13.7317607972,0,Private car,30.0,Plane,10.0,10.0,,,80,20,,,,,0,0,4.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F668,668.0,,,Koper,1695-667/2
45.6570707853,14.8950313992,0,Private car,2.0,Plane,50.0,10.0,30,10.0,45,10,,,5,,0,0,6.0,Ljubljana,0,2010-04-04,2017-01-16,http://www.geopedia.si/?params=T1199_L6357_F669,669.0,Remihov mlin 1,"Gume, tv ekrani, barve, baterije, ...",Kočevje,290-742
46.4910969594,15.054220905,1,Private car,10.0,Slope,2500.0,500.0,20,70.0,,,,,10,,0,1,36.0,Maribor,0,2010-03-28,2012-02-15,http://www.geopedia.si/?params=T1199_L6357_F670,670.0,,"Zasipanje jame pod kamionsko cesto. Navažajo  predvsem gradbene odpadke, medkaterimi je tudi določena količina asfalta in ostalih nevarnih odpadkov, delomaje navožen tudi izkopni material (zemljina) in naravni odpadki.Lokacija določena po prijavi občana!Lokacijo morajo pregledati pristojne službe!",Slovenj Gradec,367-2591
46.4870631124,13.8154705029,0,Off-road,50.0,Basin,50.0,50.0,,100.0,,,,,,,0,0,4.0,Kranj,0,2010-04-18,2011-04-30,http://www.geopedia.si/?params=T1199_L6357_F672,672.0,,,Kranjska Gora,1741-1/1
46.48789779,13.8066210185,0,Private car,150.0,Basin,1000.0,250.0,,80.0,10,10,,,,,0,0,20.0,Kranj,0,2010-03-28,2011-04-30,http://www.geopedia.si/?params=T1199_L6357_F674,674.0,,,Kranjska Gora,1468-884/7
46.4910304296,13.7685936704,1,Private car,350.0,Plane,150.0,100.0,,100.0,,,,,,,0,0,,Kranj,0,2010-03-28,2011-04-30,http://www.geopedia.si/?params=T1199_L6357_F675,675.0,,,Kranjska Gora,389-365
46.4883380474,13.8389021287,0,Private car,25.0,Slope,50.0,50.0,,70.0,,,,,30,,0,0,16.0,Kranj,0,2010-04-18,2011-04-30,http://www.geopedia.si/?params=T1199_L6357_F676,676.0,,asfalt,Kranjska Gora,1741-331/12
46.4783518623,13.8523072159,0,Private car,250.0,Basin,250.0,500.0,,100.0,,,,,,,0,0,14.0,Kranj,0,2010-04-18,2011-05-04,http://www.geopedia.si/?params=T1199_L6357_F677,677.0,,,Kranjska Gora,1741-685/44
46.4806199781,13.8363704045,0,Private car,25.0,Basin,50.0,100.0,,100.0,,,,,,,0,0,7.0,Kranj,0,2010-04-18,2011-04-30,http://www.geopedia.si/?params=T1199_L6357_F678,678.0,,,Kranjska Gora,1741-158/3
45.7055790561,14.0020603912,1,Private car,50.0,Plane,5.0,10.0,10,,10,60,,,20,,0,0,8.0,Koper,0,2010-03-28,2015-10-27,http://www.geopedia.si/?params=T1199_L6357_F854,854.0,,"Nedaleč od magistralne ceste Senožeče-Divača (pri Čebulovci) je levomakadamska cesta, 50 m stran so odvržene avtomobilske gume (4), hladilnik, pečin drugi manjši odpadki.",Divača,341-889/1
46.1862998886,15.4056101573,0,Private car,5.0,Slope,20.0,25.0,,,,100,,,,,0,0,6.0,Celje,0,2010-04-18,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F680,680.0,,,Šentjur,2077-20/4
46.18035036,15.4062658493,1,Private car,10.0,Slope,50.0,2.0,40,,,60,,,,,0,0,,Celje,0,2010-04-18,2011-04-24,http://www.geopedia.si/?params=T1199_L6357_F681,681.0,,,Šentjur,2077-609
46.1806349474,15.4072005423,0,Private car,10.0,Slope,2.0,1.0,,,,100,,,,,0,0,1.0,Celje,0,2010-04-18,2011-04-24,http://www.geopedia.si/?params=T1199_L6357_F682,682.0,,,Šentjur,2077-162/1
46.2225806923,15.3643710336,0,Off-road,10.0,Basin,50.0,50.0,50,40.0,,,10,,,,0,0,8.0,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F683,683.0,,,Šentjur,1399-96/1
46.2251706037,15.3813181123,1,Unsafe access,200.0,Basin,50.0,50.0,,,30,70,,,,,0,0,,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F684,684.0,,,Šentjur,1399-734
46.2280736044,15.3822456862,1,Private car,5.0,Slope,50.0,50.0,,,,,,,,,0,0,,Celje,0,2010-04-05,2011-04-04,http://www.geopedia.si/?params=T1199_L6357_F685,685.0,,,Šentjur,1398-96/1
46.2014923301,15.3640113195,0,Private car,15.0,Slope,20.0,10.0,,100.0,,,,,,,0,0,1.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F686,686.0,,,Šentjur,1399-864/2
46.201779888,15.3725005125,0,Private car,30.0,Slope,20.0,25.0,,100.0,,,,,,,0,0,4.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F687,687.0,,,Šentjur,1399-758/2
46.1897575632,15.359062812,1,Private car,10.0,Basin,10.0,10.0,,,100,,,,,,0,0,,Celje,0,2010-03-28,2013-10-21,http://www.geopedia.si/?params=T1199_L6357_F688,688.0,,,Šentjur,1425-347/2
46.1841379582,15.3607490468,0,Private car,20.0,Basin,20.0,10.0,,40.0,30,30,,,,,0,1,8.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F689,689.0,,,Šentjur,1425-329/1
46.1826108503,15.3628245229,0,Private car,30.0,Slope,100.0,50.0,20,20.0,20,20,10,,10,,0,0,33.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F690,690.0,,,Šentjur,1425-214/3
46.2061981706,15.4066377818,1,On foot,40.0,Slope,10.0,10.0,,,50,,,,50,,0,0,,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F691,691.0,,,Šentjur,1405-144/1
46.2200399671,15.4105378208,1,Unsafe access,10.0,Slope,500.0,25.0,,,50,50,,,,,0,0,,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F692,692.0,,,Šentjur,1128-413/1
46.180449781,15.3984690617,1,Private car,3.0,Plane,2.0,1.0,,,,,,,100,,0,0,,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F693,693.0,,,Šentjur,1425-914/1
46.1829815152,15.3974640428,0,Private car,10.0,Plane,20.0,10.0,,,,100,,,,,0,0,4.0,Celje,0,2010-04-18,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F694,694.0,,,Šentjur,1425-1137
45.894421572,13.83245253,0,On foot,200.0,Plane,3.0,10.0,,,,100,,,,,0,0,4.0,Nova Gorica,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F695,695.0,,Odsluženo osebno vozilo.,Ajdovščina,2212-964/1
45.583021562,13.7258491097,0,Private car,1.0,Plane,4.0,2.0,,,10,90,,,,,0,0,1.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F696,696.0,,,Koper,1695-931/1
46.1912363731,15.4114892766,1,Private car,5.0,Plane,10.0,10.0,,,,,,,,,0,0,,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F699,699.0,,,Šentjur,1405-378
45.5883483167,13.725023705,0,Private car,1.0,Plane,3.0,1.0,,,20,80,,,,,0,0,1.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F698,698.0,,,Koper,2030-2192
46.2138250417,15.4074198604,1,On foot,300.0,Plane,500.0,50.0,,,,,,,,,0,0,,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F700,700.0,,,Šentjur,1405-1478/2
46.2008320165,15.3816420864,1,Unsafe access,10.0,Basin,20.0,25.0,,,20,20,,,60,,0,0,,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F701,701.0,,deli avtomobilov,Šentjur,1404-937
46.1897007608,15.3739734879,1,Off-road,5.0,Slope,30.0,25.0,,,50,,,,50,,0,0,,Celje,0,2010-03-28,2011-04-22,http://www.geopedia.si/?params=T1199_L6357_F702,702.0,,avtomobil,Šentjur,1425-445/1
46.1861685436,15.378315043,0,Unsafe access,5.0,Basin,30.0,25.0,30,,30,,20,,20,,0,0,13.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F703,703.0,,,Šentjur,1425-508/1
46.1824199668,15.3745847288,0,Private car,5.0,Slope,100.0,10.0,,10.0,,40,,,50,,0,0,9.0,Celje,0,2010-03-28,2011-04-11,http://www.geopedia.si/?params=T1199_L6357_F704,704.0,,,Šentjur,1425-176
45.6862028859,14.2402319491,0,Private car,2.0,Plane,100.0,25.0,,20.0,,80,,,,,0,0,8.0,Koper,0,2010-04-03,2010-04-03,http://www.geopedia.si/?params=T1199_L6357_F706,706.0,,,Pivka,719-345
45.6869622682,14.2475651905,0,Private car,5.0,Basin,50.0,100.0,,50.0,,,,,,50,0,0,33.0,Koper,0,2010-03-28,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F707,707.0,,salonitne plošče,Pivka,706-3600/1
45.8023325828,13.7896082121,0,Private car,700.0,Basin,200.0,500.0,,10.0,50,20,,,20,,0,0,91.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F708,708.0,,"Odpadki so zmetani na dno kotanje oziroma prepada<br/>zato je težko določiti kaj se nehaja v njej. Notri je bela tehnika, gume,vzmetnice, karoserije,<br/>embalaže raznih barv in kemikalij itd. Morda je tudi gradbenega materiala<br/>več kot 10%.",Komen,1751-1570
46.501990697,16.1099095129,0,On foot,5.0,Slope,400.0,500.0,20,30.0,20,30,,,,,0,0,32.0,Murska Sobota,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F710,710.0,,,Ljutomer,1516-765/126
46.5028646372,16.1125591919,0,On foot,3.0,Slope,400.0,500.0,10,20.0,30,40,,,,,0,0,42.0,Murska Sobota,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F711,711.0,,"divje odlagališče na parcelnih št.:765/51, 765/43, 765/41, katastrska občina:0257 Branoslavci.",Ljutomer,1516-765/124
45.9404855058,15.1997495712,0,Private car,20.0,Slope,40.0,10.0,,,50,50,,,,,0,0,4.0,Novo Mesto,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F714,714.0,,"Stari lonci, plastika zvita pločevina kosovnih odpadkov, itd.!",Sevnica,1147-1731/6
45.6645514857,14.3019702641,0,Private car,700.0,Basin,900.0,1000.0,20,20.0,20,20,,,20,,0,0,130.0,Koper,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F715,715.0,,Jama na Jurščah - RUNICA,Pivka,130-572/1
46.1387408386,15.5963629253,1,Private car,3.0,Plane,5.0,10.0,,100.0,0,0,,,,,0,0,,Celje,0,2010-03-03,2011-04-10,http://www.geopedia.si/?params=T1199_L6357_F716,716.0,Imeno 1,V odlagališču je ostal gradbeni material oz. odpadna strešna kritina cca 2m3. osatlih odpadkov ni zaznati.,Podčetrtek,915-1888/2
46.1469645965,15.5823677349,1,Private car,10.0,Slope,20.0,2.0,,0.0,100,0,,,,,0,0,,Celje,0,2010-03-28,2011-04-10,http://www.geopedia.si/?params=T1199_L6357_F717,717.0,Devica marija,"Predvsem komunalno odpadki(sveče, lončko od roč, in vreča smti)Kosovnih odpadkov ni več zaznati.Odlagaliče očiščeno v čistilni akciji 2011, mesto ostajap otencialna točka zaodlagnje zaradi bližine pokopališča in dveh kontejnerjev.",Podčetrtek,913-1091
46.5233252703,15.6747601943,0,Private car,1.0,Plane,5.0,10.0,,,,,,,100,,0,0,10.0,Maribor,0,2010-03-16,2010-03-16,http://www.geopedia.si/?params=T1199_L6357_F718,718.0,,Motorno vozilo (osebni avtomobil). Ga ni več!!!!,Maribor,476-2398/2
46.5033015203,15.6923102829,1,Private car,1.0,Plane,5.0,2.0,,100.0,,,,,,,0,0,1.0,Maribor,0,2010-03-28,2017-02-16,http://www.geopedia.si/?params=T1199_L6357_F719,719.0,,Beton in zidaki.,Hoče-Slivnica,500-544
46.1401062027,15.5667376464,1,Private car,10.0,Slope,50.0,25.0,25,25.0,25,25,,,,,0,0,6.0,Celje,0,2010-03-28,2012-03-25,http://www.geopedia.si/?params=T1199_L6357_F720,720.0,Amon Amon,"Po poročanju prijavitelja, se odpadki nahajajo ob cesti. Od križišča A GolfAmon pa vse do vrha ceste v Virštanju. Ob cesti ležijo vse vrste različnihodpadkov. Najhuje je  v tretjem ostrem ovinku od sodaj navzgor. Odpadki ležijona strmih obočjih tik ob cesti.Klub temu da je bilo to predel ceste lani očiščen se je v enem letu nabralonovih odpadkov. Nekaj zakopanih odpadkov pa se je pokazalo zaradi premikovlistja.<strong>Območje je očiščeno, na območje se bodo postavile opozorilne table.25.3.2012</strong>",Podčetrtek,913-273/1
46.1405872767,15.5784692595,1,On foot,50.0,Slope,500.0,2.0,,0.0,100,0,,,,,0,0,,Celje,0,2010-03-28,2011-04-10,http://www.geopedia.si/?params=T1199_L6357_F721,721.0,Haler -Imenska Gorca,"Komunalni odpadki so razperšeni po celotnem delu ob cestišču Devica Marija -Imenska Gorca. Kljub temu da je bilo lani to odlagališče v celoti sanirano, sana istih površinah nahajajo pločevinke, plastenke in istali odpadki, ki seodvržejo iz avtomobilov.Kosovnih odpadkov ni videti.Komunalni odpadki(embalaža) je očiščenav čistilni akicji 2011. Cesta ostjapotencjalna točka za izmet odpadkov iz avtomobila.",Podčetrtek,915-571/1
45.5398244012,15.2695845187,0,Off-road,300.0,Basin,10.0,25.0,,1.0,5,89,,,5,,0,0,10.0,Novo Mesto,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F722,722.0,,,Črnomelj,285-3082
46.1056073974,14.5126482584,0,Private car,500.0,Plane,500.0,50.0,10,10.0,70,10,,,,,0,0,17.0,Ljubljana,0,2010-03-28,2011-12-29,http://www.geopedia.si/?params=T1199_L6357_F723,723.0,,,Ljubljana,987-1915
45.6417240687,14.231982097,1,Private car,100.0,Plane,10000.0,50.0,40,20.0,10,20,,,10,,0,0,,Koper,0,2010-04-03,2011-03-10,http://www.geopedia.si/?params=T1199_L6357_F724,724.0,,"Na divjem odlagališču ""Zgon"", je na povrčini 100x100m precejšna količina vsehvrst odpadkov, ki so bili odloženi iz gospodinjstev, kmetijstva...",Pivka,1575-2239/9
46.0362606004,14.8505592753,0,Off-road,30.0,Basin,5.0,10.0,,,,100,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F725,725.0,,V kotanji  ob poti proti Bogenjšperku (bolj znano na Selah) se nahaja staravtomobil. Samo izvlačenje bo potrebno z uporabo mehanizacije.,Šmartno pri Litiji,2392-1046
46.0368363705,14.8373285805,0,Private car,1.0,Plane,100.0,2.0,30,20.0,20,30,,,,,0,0,1.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F726,726.0,,,Šmartno pri Litiji,79-891
46.0479921635,14.8365593002,0,Private car,10.0,Basin,70.0,10.0,,20.0,50,30,,,,,0,0,4.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F727,727.0,,,Šmartno pri Litiji,79-589/8
45.995524459,14.6448274544,0,Private car,150.0,Slope,25.0,10.0,,10.0,20,70,,,,,0,0,5.0,Ljubljana,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F729,729.0,,,Ljubljana,2316-2097/20
